"Id","Title","Description","Status","DueDate","CreatedAt","UpdatedAt"
"1","Finish the CV","Finish the CV, for the practices.After finishing the CV, send the CV .pdf file to Javi and Patxi.Changed that I should do:- In proyectos destacados add something about Android and talk about the used databases.- In the section Habilidades I should be more specific the teacher told me that they see the languages and tools, but what?","2","2026-01-23T00:00:00","2026-01-22T16:30:23","2026-03-02T13:43:10"
"2","Video tutorial - Fire Base","I have to do a video tutorial explaining how to use fire base studio what settings it has etc.. how to give the ai images so he can add theme to the proyect bla bla bla...","2","2026-01-22T00:00:00","2026-01-21T20:44:03","2026-03-02T13:43:07"
"3","WebShopApp - Fire Base Studio","Finish the Ai WebShop app in Google Fire Base. It has to be done in euskera and apart from that the app it has to use the images that I gave him, it can't ai generated images.","2","2026-02-03T00:00:00","2026-02-23T08:48:07","2026-02-23T08:48:07"
"4","Proyect - NET MAUI","Finish all the subtask to friday, find code problems.","2","2026-02-03T00:00:00","2026-02-23T08:48:00","2026-02-23T08:48:00"
"8","Proyect - Android Studio","","2","2026-02-03T00:00:00","2026-02-23T08:47:54","2026-02-23T08:47:54"
"23","Exam - Text (abcd)","The exam is going to be about process and services.Check the latest .pdf all the text are going to be made from the .pdf files from the teacher.In the test they are going to add questions about abc type from the 2 and 3 term.","2","2026-01-26T00:00:00","2026-01-26T12:45:48","2026-01-26T12:45:48"
"36","DATU ATZIPENA","Ariketa bat 8. zuzendu eta entregatu.","2","2026-02-08T00:00:00","2026-02-23T08:48:19","2026-02-23T08:48:19"
"37","SODESA - PRACTICAS","TERMINAR EL BLOQUE 1","2","2026-03-06T00:00:00","2026-03-09T09:14:34","2026-03-09T09:14:34"
"40","FamilyGate - APK - Final Proyect [IN PAUSE]","FamilyGate is a parental-control Android app backed by a cloud PocketBase database. A parent configures rules (block apps, set daily time limits) from the PocketBase admin panel, and those rules are automatically enforced on the child's device.","1","2026-03-31T00:00:00","2026-03-10T08:50:50","2026-03-10T08:50:50"
"41","WEEKLY NOTES - TOLOSALDEA 09/03/2026","","2","2026-03-06T00:00:00","2026-03-09T09:14:10","2026-03-09T09:14:10"
"42","PintxoMatch - Final Proyect","Probably I am going to use PintxoMatch as the final proyect, I have to notify to Javi via posta saying that I have changed my proyect subject and I am developing this new proyect.","1","","2026-03-11T10:32:06","2026-03-11T10:32:06"
"43","WEEKLY NOTES","","1","2026-03-13T00:00:00","2026-03-10T12:39:54","2026-03-10T12:39:54"
